# == pyFAI calibration ==
# Distance Sample to Detector: 0.38015043260781645 m
# PONI: 3.814e-02, 1.536e-01 m
# Rotations: -0.000107 0.002134 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 380.151 mm
# Center: x=2793.866, y=708.229 pix
# Tilt: 0.122 deg  TiltPlanRot: 87.125 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 5.500e-05, 5.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.832e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.020696949E+01  7.392015457E-01
1.021026071E+01  7.793427110E-01
1.021355192E+01  9.010336995E-01
1.021684314E+01  5.309973359E-01
1.022013436E+01  4.890356660E-01
1.022342557E+01  1.099425197E+00
1.022671679E+01  1.134279251E+00
1.023000800E+01  -8.307950944E-02
1.023329922E+01  -5.563619733E-01
1.023659044E+01  -5.925346017E-01
1.023988165E+01  -3.672610521E-01
1.024317287E+01  -2.947067618E-01
1.024646409E+01  -6.677372754E-02
1.024975530E+01  2.772572041E-01
1.025304652E+01  3.326867223E-01
1.025633774E+01  2.719183266E-01
1.025962895E+01  1.085310131E-01
1.026292017E+01  1.058711018E-02
1.026621138E+01  2.382099330E-01
1.026950260E+01  5.602495074E-01
1.027279382E+01  3.689256310E-01
1.027608503E+01  3.867666796E-02
1.027937625E+01  -1.724004894E-01
1.028266747E+01  -5.965985358E-02
1.028595868E+01  -6.693849713E-02
1.028924990E+01  -1.153294742E-01
1.029254112E+01  2.341719158E-02
1.029583233E+01  1.901614964E-01
1.029912355E+01  2.912912071E-01
1.030241477E+01  -3.724920098E-03
1.030570598E+01  -5.593373999E-02
1.030899720E+01  -2.674334645E-01
1.031228841E+01  -2.036247402E-01
1.031557963E+01  -3.693809509E-01
1.031887085E+01  -2.113301307E-01
1.032216206E+01  -8.188787103E-02
1.032545328E+01  1.106641144E-01
1.032874450E+01  1.532775462E-01
1.033203571E+01  2.867607474E-01
1.033532693E+01  1.168598011E-01
1.033861815E+01  3.352991864E-02
1.034190936E+01  3.028820269E-02
1.034520058E+01  8.155653626E-02
1.034849179E+01  9.411895648E-03
1.035178301E+01  5.922560394E-02
1.035507423E+01  -8.743780851E-02
1.035836544E+01  -1.456039399E-01
1.036165666E+01  -7.327702641E-02
1.036494788E+01  1.390553825E-02
1.036823909E+01  -1.659286767E-01
1.037153031E+01  -9.949414060E-03
1.037482153E+01  3.252686560E-02
1.037811274E+01  2.021300793E-01
1.038140396E+01  4.767607749E-01
1.038469518E+01  7.518526912E-01
1.038798639E+01  8.104397058E-01
1.039127761E+01  9.384093881E-01
1.039456882E+01  8.212570548E-01
1.039786004E+01  5.621357560E-01
1.040115126E+01  5.180258751E-01
1.040444247E+01  4.658159316E-01
1.040773369E+01  5.127115846E-01
1.041102491E+01  3.582244217E-01
1.041431612E+01  1.616096348E-01
1.041760734E+01  1.088914797E-01
1.042089856E+01  3.145810366E-01
1.042418977E+01  9.784787893E-02
1.042748099E+01  -4.074511304E-02
1.043077220E+01  6.622327864E-02
1.043406342E+01  9.619208425E-02
1.043735464E+01  5.161760375E-02
1.044064585E+01  8.064050972E-02
1.044393707E+01  9.910933673E-02
1.044722829E+01  7.726531476E-02
1.045051950E+01  2.614476532E-02
1.045381072E+01  3.019735450E-03
1.045710194E+01  -4.518402368E-02
1.046039315E+01  2.709477209E-02
1.046368437E+01  1.621792465E-01
1.046697559E+01  1.744831204E-01
1.047026680E+01  1.873154193E-01
1.047355802E+01  1.153699830E-01
1.047684923E+01  1.782294512E-01
1.048014045E+01  2.279094458E-01
1.048343167E+01  1.599817425E-01
1.048672288E+01  3.928007558E-02
1.049001410E+01  2.790426835E-02
1.049330532E+01  1.737820953E-01
1.049659653E+01  7.886024565E-02
1.049988775E+01  2.112046629E-01
1.050317897E+01  1.405896544E-01
1.050647018E+01  1.434907168E-01
1.050976140E+01  -3.174244985E-02
1.051305261E+01  -1.227612272E-01
1.051634383E+01  -9.371558577E-02
1.051963505E+01  -1.016084701E-01
1.052292626E+01  -7.937316597E-02
1.052621748E+01  -1.323324721E-02
1.052950870E+01  1.919820458E-01
1.053279991E+01  4.560991526E-01
1.053609113E+01  5.544907451E-01
1.053938235E+01  5.445494056E-01
1.054267356E+01  2.980676293E-01
1.054596478E+01  3.555042446E-01
1.054925600E+01  3.926658332E-01
1.055254721E+01  3.622368574E-01
1.055583843E+01  4.339889884E-01
1.055912964E+01  4.685038328E-01
1.056242086E+01  3.537892401E-01
1.056571208E+01  2.924976647E-01
1.056900329E+01  2.517885864E-01
1.057229451E+01  3.587514758E-01
1.057558573E+01  4.951687157E-01
1.057887694E+01  4.943492115E-01
1.058216816E+01  3.603104353E-01
1.058545938E+01  1.791641116E-01
1.058875059E+01  2.033111900E-01
1.059204181E+01  3.418805599E-01
1.059533302E+01  4.307837784E-01
1.059862424E+01  4.183335304E-01
1.060191546E+01  1.639879048E-01
1.060520667E+01  2.279669195E-01
1.060849789E+01  2.646709681E-01
1.061178911E+01  5.284886360E-01
1.061508032E+01  5.057967901E-01
1.061837154E+01  3.708578050E-01
1.062166276E+01  2.837198377E-01
1.062495397E+01  1.780921519E-01
1.062824519E+01  2.285661250E-01
1.063153641E+01  1.633272022E-01
1.063482762E+01  2.439617217E-01
1.063811884E+01  4.509980679E-01
1.064141005E+01  6.042919159E-01
1.064470127E+01  7.494558096E-01
1.064799249E+01  6.334683895E-01
1.065128370E+01  7.999908924E-01
1.065457492E+01  5.753539801E-01
1.065786614E+01  4.835311174E-01
1.066115735E+01  3.014420569E-01
1.066444857E+01  3.136562407E-01
1.066773979E+01  2.175414860E-01
1.067103100E+01  2.557111681E-01
1.067432222E+01  5.205505714E-02
1.067761343E+01  -4.999320954E-02
1.068090465E+01  2.815923095E-02
1.068419587E+01  9.259884059E-02
1.068748708E+01  1.365194768E-01
1.069077830E+01  1.682644039E-01
1.069406952E+01  2.971960604E-01
1.069736073E+01  3.310910165E-01
1.070065195E+01  3.646647036E-01
1.070394317E+01  3.587073982E-01
1.070723438E+01  4.151047170E-01
1.071052560E+01  5.417187810E-01
1.071381682E+01  6.292406321E-01
1.071710803E+01  4.443894327E-01
1.072039925E+01  3.185417950E-01
1.072369046E+01  3.232363760E-01
1.072698168E+01  3.270422816E-01
1.073027290E+01  2.034144551E-01
1.073356411E+01  2.026914656E-01
1.073685533E+01  2.604344785E-01
1.074014655E+01  2.524399161E-01
1.074343776E+01  2.282837033E-01
1.074672898E+01  2.709928155E-01
1.075002020E+01  2.129114419E-01
1.075331141E+01  2.007462978E-01
1.075660263E+01  1.900915205E-01
1.075989384E+01  2.430857420E-01
1.076318506E+01  2.357655764E-01
1.076647628E+01  -1.270006895E-01
1.076976749E+01  -2.146256119E-01
1.077305871E+01  -1.545727700E-01
1.077634993E+01  1.319625229E-01
1.077964114E+01  2.185939699E-01
1.078293236E+01  3.115855455E-01
1.078622358E+01  3.146708608E-01
1.078951479E+01  4.523392618E-01
1.079280601E+01  4.899936616E-01
1.079609723E+01  4.596736133E-01
1.079938844E+01  4.067938328E-01
1.080267966E+01  3.006837964E-01
1.080597087E+01  2.294072062E-01
1.080926209E+01  3.255584836E-01
1.081255331E+01  3.835780323E-01
1.081584452E+01  5.326495767E-01
1.081913574E+01  5.713093877E-01
1.082242696E+01  6.086544991E-01
1.082571817E+01  4.206883013E-01
1.082900939E+01  2.645885348E-01
1.083230061E+01  1.997167766E-01
1.083559182E+01  2.544306219E-01
1.083888304E+01  2.832297087E-01
1.084217425E+01  3.948946297E-01
1.084546547E+01  4.505271018E-01
1.084875669E+01  4.340800643E-01
1.085204790E+01  3.415817022E-01
1.085533912E+01  2.472213358E-01
1.085863034E+01  2.125929892E-01
1.086192155E+01  2.957114279E-01
1.086521277E+01  2.227813005E-01
1.086850399E+01  5.943125114E-02
1.087179520E+01  2.284968644E-02
1.087508642E+01  1.485794932E-01
1.087837764E+01  3.555052876E-01
1.088166885E+01  4.614525735E-01
1.088496007E+01  3.728041053E-01
1.088825128E+01  4.031719267E-01
1.089154250E+01  3.712444305E-01
1.089483372E+01  5.804482698E-01
1.089812493E+01  5.419919491E-01
1.090141615E+01  6.136499643E-01
1.090470737E+01  4.549528062E-01
1.090799858E+01  4.638598859E-01
1.091128980E+01  4.006334841E-01
1.091458102E+01  3.191139102E-01
1.091787223E+01  1.653992087E-01
1.092116345E+01  2.246281058E-01
1.092445466E+01  3.502033949E-01
1.092774588E+01  3.643722534E-01
1.093103710E+01  2.393872142E-01
1.093432831E+01  1.410413682E-01
1.093761953E+01  2.778286338E-01
1.094091075E+01  4.518288672E-01
1.094420196E+01  4.467733204E-01
1.094749318E+01  3.440588117E-01
1.095078440E+01  3.867509961E-01
1.095407561E+01  5.257365108E-01
1.095736683E+01  7.625219822E-01
1.096065805E+01  6.581721902E-01
1.096394926E+01  5.213313699E-01
1.096724048E+01  4.475358129E-01
1.097053169E+01  4.423179030E-01
1.097382291E+01  3.528066874E-01
1.097711413E+01  2.144838423E-01
1.098040534E+01  1.936294734E-01
1.098369656E+01  3.381279409E-01
1.098698778E+01  5.209397674E-01
1.099027899E+01  4.231977165E-01
1.099357021E+01  2.916990221E-01
1.099686143E+01  1.870197654E-01
1.100015264E+01  3.388474286E-01
1.100344386E+01  3.513793349E-01
1.100673507E+01  2.813341916E-01
1.101002629E+01  1.877081841E-01
1.101331751E+01  3.645009995E-01
1.101660872E+01  3.888945878E-01
1.101989994E+01  4.213123918E-01
1.102319116E+01  4.754646719E-01
1.102648237E+01  5.066816211E-01
1.102977359E+01  4.766774774E-01
1.103306481E+01  3.839429319E-01
1.103635602E+01  2.301102728E-01
1.103964724E+01  2.265514582E-01
1.104293846E+01  2.860822380E-01
1.104622967E+01  4.348444343E-01
